date,quarter,dY_prod,dY_inc,dY,dhours,dLP,dk,dLQ_BLS_interpolated,dLQ_Aaronson_Sullivan,dLQ,alpha,dtfp,dutil,dtfp_util,relativePrice,invShare,dtfp_I,dtfp_C,du_invest,du_consumption,dtfp_I_util,dtfp_C_util
1995-10-01,1995:Q4,3.5,3.35,3.43,0.79,2.64,3.95,0.47,1.66,1.66,0.33,0.48,-0.43,0.91,3.69,0.24,3.28,-0.41,-0.36,-0.45,3.64,0.04
1996-01-01,1996:Q1,3.78,5.7,4.74,0.88,3.86,4.16,0.54,0.61,0.61,0.33,2.36,-4.26,6.62,2.98,0.24,4.62,1.64,-12.3,-1.69,16.92,3.33
1996-04-01,1996:Q2,7.82,6.73,7.28,3.37,3.9,4.21,0.47,0.4,0.4,0.33,3.36,6.27,-2.91,5.86,0.24,7.8,1.94,16.39,3.04,-8.59,-1.1
1996-07-01,1996:Q3,4.42,4.55,4.48,2.99,1.5,4.41,0.4,-0.6,-0.6,0.34,1.41,1.6,-0.19,3.65,0.24,4.17,0.52,2.99,1.15,1.19,-0.63
1996-10-01,1996:Q4,4.95,5.98,5.47,4.36,1.1,4.74,0.33,-0.23,-0.23,0.34,1.13,-0.62,1.75,4.24,0.24,4.33,0.1,-3.18,0.2,7.51,-0.1
1997-01-01,1997:Q1,2.77,5.16,3.96,3.56,0.41,4.69,0.26,1.48,1.48,0.34,-0.95,1.34,-2.29,4.24,0.25,2.24,-1.99,6.24,-0.26,-3.99,-1.74
1997-04-01,1997:Q2,8.01,6.1,7.05,1.8,5.26,5,0.31,0.15,0.15,0.34,4.07,0.76,3.31,5.54,0.24,8.27,2.73,0.45,0.86,7.82,1.87
1997-07-01,1997:Q3,5.79,7.6,6.69,2.11,4.59,5.53,0.37,-0.08,-0.08,0.34,3.48,-0.98,4.46,3.87,0.25,6.4,2.52,-4.68,0.23,11.08,2.29
1997-10-01,1997:Q4,3.64,6.19,4.92,1.48,3.44,5.83,0.43,0.93,0.93,0.33,1.36,2.04,-0.68,5.22,0.25,5.3,0.08,5.28,0.99,0.02,-0.91
1998-01-01,1998:Q1,5.74,5.97,5.86,2.27,3.59,5.68,0.48,-0.8,-0.8,0.33,3,-0.05,3.05,3.43,0.25,5.58,2.15,-4.72,1.49,10.31,0.66
1998-04-01,1998:Q2,4.14,6.63,5.38,2.36,3.02,6.06,0.42,0.76,0.76,0.33,1.3,-3.44,4.74,4.9,0.25,4.96,0.06,-10.87,-0.93,15.83,0.99
1998-07-01,1998:Q3,5.9,6.5,6.2,0.36,5.85,5.86,0.36,0.8,0.8,0.32,3.52,-0.62,4.14,5.11,0.25,7.35,2.23,-1.28,-0.4,8.62,2.63
1998-10-01,1998:Q4,7.93,4.56,6.24,4.61,1.63,5.76,0.3,1.16,1.16,0.32,0.47,1.99,-1.51,3.31,0.26,2.93,-0.38,6.57,0.4,-3.64,-0.78
1999-01-01,1999:Q1,4.81,7.13,5.97,-1.23,7.21,5.97,0.24,-0.83,-0.83,0.32,5.44,-1.2,6.64,3.15,0.26,7.78,4.64,-2.86,-0.62,10.64,5.26
1999-04-01,1999:Q2,3.7,1.99,2.85,2.34,0.51,6.22,0.27,1.45,1.45,0.32,-1.73,-0.62,-1.11,3.86,0.26,1.12,-2.74,1.61,-1.41,-0.49,-1.33
1999-07-01,1999:Q3,6.14,4.49,5.32,2.44,2.88,6.34,0.3,0.21,0.21,0.32,1.49,0.35,1.13,4.92,0.27,5.11,0.18,2.39,-0.38,2.72,0.56
1999-10-01,1999:Q4,7.5,6.67,7.09,2.1,4.98,6.48,0.34,0.03,0.03,0.32,3.57,-1.62,5.19,3.62,0.26,6.25,2.63,-3.92,-0.81,10.16,3.44
2000-01-01,2000:Q1,0.91,9.2,5.06,2.01,3.04,6.22,0.37,0.71,0.71,0.31,1.24,1.58,-0.34,4.1,0.27,4.24,0.13,4.95,0.33,-0.72,-0.2
2000-04-01,2000:Q2,8.66,2.71,5.68,0.73,4.95,6.19,0.35,-0.65,-0.65,0.31,3.71,-0.48,4.18,3.28,0.26,6.12,2.84,-3.45,0.59,9.58,2.25
2000-07-01,2000:Q3,-0.11,3.99,1.94,-0.24,2.18,6.6,0.33,1.69,1.69,0.31,-1.1,-2.2,1.1,4.14,0.26,1.95,-2.19,-5.28,-1.09,7.23,-1.11
2000-10-01,2000:Q4,2.46,-0.69,0.88,-1.92,2.8,6.17,0.31,-1.78,-1.78,0.31,1.56,-3.37,4.93,3.84,0.26,4.39,0.56,-11.36,-0.52,15.75,1.07
2001-01-01,2001:Q1,-2.39,5.19,1.4,-0.11,1.51,5.83,0.3,2.85,2.85,0.31,-2.28,-2.44,0.16,7.09,0.26,2.94,-4.14,-9.85,0.19,12.79,-4.33
2001-04-01,2001:Q2,2.59,-1.61,0.49,-3.96,4.45,5.07,0.39,0,0,0.31,1.69,-2.04,3.73,6.1,0.25,6.24,0.14,-2.26,-1.97,8.5,2.11
2001-07-01,2001:Q3,-2.74,-3.51,-3.13,-5.18,2.06,4.34,0.48,1.7,1.7,0.31,-2.05,-2.92,0.87,4.26,0.25,1.13,-3.13,-3.68,-2.66,4.81,-0.46
2001-10-01,2001:Q4,1.11,-4.58,-1.73,-4.06,2.32,3.68,0.57,-0.18,-0.18,0.31,0.03,-3.5,3.53,2.48,0.26,1.87,-0.61,-5.81,-2.69,7.68,2.09
2002-01-01,2002:Q1,3.74,5.83,4.79,-3.03,7.81,3.14,0.66,-0.27,-0.27,0.32,6.05,1.37,4.68,3.54,0.25,8.7,5.16,10.48,-1.68,-1.79,6.84
2002-04-01,2002:Q2,2.62,4.3,3.46,0.76,2.7,3,0.62,1.3,1.3,0.32,1.1,1.44,-0.34,3.63,0.25,3.82,0.2,6.87,-0.36,-3.04,0.55
2002-07-01,2002:Q3,1.72,1.07,1.39,-1.69,3.09,2.84,0.58,0.4,0.4,0.33,1.34,-1.06,2.41,4.6,0.25,4.8,0.19,-4.17,-0.03,8.97,0.22
2002-10-01,2002:Q4,0.32,3.5,1.91,0.75,1.15,2.75,0.54,-0.19,-0.19,0.33,0.63,0.85,-0.23,4.59,0.24,4.1,-0.5,3.28,0.07,0.81,-0.56
2003-01-01,2003:Q1,1.81,-1.21,0.3,-2.14,2.44,2.36,0.51,-0.37,-0.37,0.33,1.2,1.26,-0.06,8.03,0.24,7.3,-0.73,1.79,1.09,5.51,-1.82
2003-04-01,2003:Q2,4.26,3.89,4.07,-2.08,6.15,2.34,0.45,1.01,1.01,0.33,4,-0.66,4.67,4.68,0.25,7.53,2.86,-2.14,-0.19,9.67,3.04
2003-07-01,2003:Q3,8.61,5.52,7.07,1.25,5.81,2.34,0.39,0.64,0.64,0.34,5.02,0.38,4.64,6.63,0.25,10.03,3.4,1.14,0.14,8.89,3.26
2003-10-01,2003:Q4,5.27,3.63,4.45,2.11,2.34,2.61,0.33,0.55,0.55,0.34,1.8,3.97,-2.17,4.95,0.24,5.55,0.6,12.77,1.14,-7.22,-0.54
2004-01-01,2004:Q1,1.85,3.3,2.57,1.26,1.31,2.76,0.27,-0.58,-0.58,0.34,1.19,1.48,-0.29,5.35,0.24,5.25,-0.1,6.3,-0.05,-1.05,-0.05
2004-04-01,2004:Q2,3.69,5.54,4.61,0.59,4.02,2.66,0.23,0.4,0.4,0.34,3.05,-0.76,3.8,3.47,0.24,5.68,2.21,-2.81,-0.1,8.49,2.31
2004-07-01,2004:Q3,4.37,5.8,5.08,2.49,2.59,3.03,0.19,-1.22,-1.22,0.35,3.2,0.04,3.17,5.36,0.24,7.26,1.9,-2.81,0.95,10.08,0.95
2004-10-01,2004:Q4,4.52,2.01,3.26,1.01,2.25,3.37,0.15,1.87,1.87,0.35,0.21,-2.07,2.28,3.72,0.24,3.03,-0.7,-4.4,-1.32,7.43,0.62
2005-01-01,2005:Q1,5.14,3.89,4.51,1.19,3.32,3.67,0.11,1.16,1.16,0.35,1.7,0.52,1.18,3.39,0.24,4.26,0.88,0.36,0.57,3.9,0.31
2005-04-01,2005:Q2,1.63,4.09,2.86,3.14,-0.28,3.74,0.15,-0.99,-0.99,0.36,0.15,-0.63,0.77,4.26,0.24,3.37,-0.9,-5.19,0.85,8.56,-1.74
2005-07-01,2005:Q3,3.72,3.58,3.65,0.93,2.72,3.67,0.19,-0.55,-0.55,0.36,2.07,1.97,0.1,8.53,0.24,8.52,-0.01,5.75,0.76,2.78,-0.77
2005-10-01,2005:Q4,2.81,7.76,5.28,1.86,3.43,3.78,0.23,1.18,1.18,0.37,1.98,3.43,-1.45,4.89,0.24,5.71,0.82,6.71,2.41,-1,-1.59
2006-01-01,2006:Q1,6.67,7.7,7.19,3.57,3.61,3.89,0.27,0.43,0.43,0.37,3.22,0.66,2.56,3.97,0.24,6.24,2.27,0.15,0.82,6.09,1.45
2006-04-01,2006:Q2,0.83,1.56,1.19,1.65,-0.45,3.89,0.32,0.23,0.23,0.37,-1.43,2.67,-4.1,5.74,0.24,2.93,-2.8,4.51,2.09,-1.57,-4.9
2006-07-01,2006:Q3,0.37,1.6,0.98,1.7,-0.72,3.66,0.38,0.53,0.53,0.37,-1.78,1.02,-2.8,3.78,0.24,1.09,-2.69,-0.61,1.54,1.69,-4.23
2006-10-01,2006:Q4,4.2,0.9,2.55,1.86,0.68,3.55,0.44,-0.61,-0.61,0.37,0.44,-0.47,0.91,1.77,0.24,1.79,0.02,-4.82,0.92,6.61,-0.9
2007-01-01,2007:Q1,1.25,-0.34,0.46,0.54,-0.09,3.28,0.5,0.29,0.29,0.37,-1.27,-0.27,-1,5.25,0.24,2.71,-2.54,-0.61,-0.17,3.33,-2.37
2007-04-01,2007:Q2,2.69,1.91,2.3,1.21,1.09,3.4,0.59,1.15,1.15,0.36,-0.43,1.6,-2.03,4.4,0.24,2.91,-1.49,6.98,-0.1,-4.07,-1.39
2007-07-01,2007:Q3,2.31,-5.23,-1.46,-1.7,0.24,3.47,0.67,1.61,1.61,0.36,-2.63,-1.53,-1.1,4.39,0.24,0.71,-3.68,-1.17,-1.64,1.89,-2.04
2007-10-01,2007:Q4,1.92,-1.12,0.4,-0.71,1.11,3.49,0.76,-0.98,-0.98,0.35,0.27,-2.25,2.52,4.45,0.24,3.67,-0.79,-4.67,-1.5,8.33,0.72
2008-01-01,2008:Q1,-3.48,-1.57,-2.53,-1.29,-1.24,3.6,0.85,2.7,2.7,0.35,-4.7,0.17,-4.87,1.89,0.24,-3.25,-5.15,1.75,-0.31,-5,-4.83
2008-04-01,2008:Q2,1.92,-2.18,-0.13,-2.23,2.1,3.42,0.79,0.1,0.1,0.35,0.08,-0.36,0.44,2.79,0.23,2.22,-0.57,-2.88,0.39,5.1,-0.96
2008-07-01,2008:Q3,-3.58,-1.46,-2.52,-4.55,2.03,3.1,0.74,0.33,0.33,0.35,-0.84,-3.22,2.39,2.75,0.23,1.29,-1.46,-8.28,-1.75,9.57,0.29
2008-10-01,2008:Q4,-11.89,-12.49,-12.19,-10.82,-1.37,2.65,0.69,0.97,0.97,0.35,-6.71,-6.68,-0.03,-3.28,0.22,-9.28,-6,-18.81,-3.32,9.53,-2.68
2009-01-01,2009:Q1,-6.25,-9.13,-7.69,-10.28,2.59,1.56,0.64,1.85,1.85,0.36,-2.81,-7.17,4.36,2.96,0.21,-0.47,-3.43,-19.37,-3.93,18.9,0.5
2009-04-01,2009:Q2,-0.82,1.97,0.57,-9.24,9.81,0.64,0.64,2.1,2.1,0.36,4.9,-5.54,10.44,-0.01,0.21,4.89,4.9,-3.04,-6.2,7.93,11.1
2009-07-01,2009:Q3,1.72,1.97,1.84,-4.51,6.36,0.43,0.65,0.5,0.5,0.37,4.23,4.7,-0.47,3.41,0.21,6.91,3.5,15.63,1.74,-8.72,1.76
2009-10-01,2009:Q4,5.11,7.49,6.3,-0.87,7.17,0.5,0.65,0.6,0.6,0.37,6.28,3.69,2.59,2.69,0.21,8.4,5.71,15.13,0.63,-6.72,5.08
2010-01-01,2010:Q1,1.9,2.32,2.11,1.34,0.77,0.95,0.65,0.83,0.83,0.38,0.41,4.18,-3.77,6.5,0.21,5.53,-0.97,8.1,3.12,-2.57,-4.09
2010-04-01,2010:Q2,4.52,4.52,4.52,3.79,0.74,1.15,0.55,-1.51,-1.51,0.39,2.68,5,-2.32,4.47,0.21,6.19,1.72,11.87,3.12,-5.68,-1.4
2010-07-01,2010:Q3,4.41,8.43,6.42,1.21,5.21,1.44,0.44,1.23,1.23,0.39,4.36,1.87,2.49,3.79,0.22,7.33,3.54,1,2.11,6.33,1.43
2010-10-01,2010:Q4,2.85,1.38,2.12,1.9,0.21,1.86,0.34,1.08,1.08,0.39,-0.44,1.71,-2.15,3.56,0.22,2.34,-1.21,3.43,1.23,-1.09,-2.45
2011-01-01,2011:Q1,-1.98,-0.14,-1.06,1.05,-2.1,2,0.23,-0.71,-0.71,0.38,-2.03,-0.03,-2,2.33,0.22,-0.22,-2.55,1.23,-0.39,-1.45,-2.16
2011-04-01,2011:Q2,3.65,3.95,3.8,3.98,-0.18,1.81,0.28,0.46,0.46,0.38,0.37,2.09,-1.72,2.29,0.22,2.15,-0.14,-0.83,2.91,2.98,-3.05
2011-07-01,2011:Q3,0.18,1.57,0.87,1.28,-0.41,1.92,0.33,2.39,2.39,0.38,-2.13,-1.19,-0.93,3.08,0.23,0.26,-2.82,-1.77,-1.02,2.03,-1.79
2011-10-01,2011:Q4,5.92,4.91,5.42,3.44,1.98,2.03,0.38,-1.53,-1.53,0.39,3.46,1.21,2.25,2.12,0.23,5.1,2.98,2.84,0.74,2.27,2.24
2012-01-01,2012:Q1,4.77,11.6,8.19,3.56,4.63,2.23,0.43,0.43,0.43,0.39,4.88,0.99,3.89,1.46,0.23,6.01,4.55,3.33,0.31,2.68,4.24
2012-04-01,2012:Q2,2.5,2.08,2.29,0.73,1.56,2.41,0.38,2.88,2.88,0.39,-0.85,-0.97,0.12,3.79,0.23,2.08,-1.72,-0.78,-1.03,2.85,-0.69
2012-07-01,2012:Q3,0.91,-4.03,-1.56,1.73,-3.28,2.64,0.33,-1.62,-1.62,0.39,-2.66,0.09,-2.76,3.72,0.23,0.21,-3.51,-3.18,1.05,3.39,-4.56
2012-10-01,2012:Q4,0.59,7.21,3.9,1.92,1.98,2.59,0.28,1.06,1.06,0.39,1.07,1.34,-0.27,2.38,0.23,2.91,0.52,-2.12,2.37,5.02,-1.85
2013-01-01,2013:Q1,4.5,-0.4,2.05,1.38,0.67,2.68,0.23,-0.04,-0.04,0.39,0.18,0.56,-0.38,3.14,0.23,2.6,-0.54,3.06,-0.19,-0.46,-0.35
2013-04-01,2013:Q2,0.8,3.5,2.15,1.65,0.5,2.8,0.21,0.29,0.29,0.39,-0.13,0.3,-0.43,2.39,0.23,1.71,-0.68,-0.81,0.63,2.52,-1.31
2013-07-01,2013:Q3,4.24,0.37,2.3,2.42,-0.11,2.5,0.2,-0.77,-0.77,0.39,0.32,-0.74,1.06,3.73,0.23,3.2,-0.53,0.29,-1.04,2.91,0.51
2013-10-01,2013:Q4,3.86,3.44,3.65,1.08,2.57,2.63,0.19,0.46,0.46,0.39,1.69,-0.61,2.29,3.64,0.23,4.49,0.86,0.69,-0.99,3.81,1.85
2014-01-01,2014:Q1,-2.22,2.34,0.06,1.63,-1.57,2.67,0.18,2.6,2.6,0.39,-3.56,-0.7,-2.86,3.66,0.23,-0.74,-4.4,-3.23,0.06,2.49,-4.46
2014-04-01,2014:Q2,6.58,7.39,6.98,3.47,3.52,2.56,0.18,-2.43,-2.43,0.39,5.35,2.14,3.21,4.79,0.23,9.03,4.24,6.85,0.72,2.18,3.52
2014-07-01,2014:Q3,6.09,6.05,6.07,3.5,2.57,2.81,0.18,1.39,1.39,0.39,2,0.1,1.9,3.26,0.23,4.51,1.25,0.21,0.07,4.3,1.18
2014-10-01,2014:Q4,2.3,4.2,3.25,4.69,-1.44,2.94,0.19,-0.5,-0.5,0.39,-0.45,1.75,-2.2,0.95,0.23,0.28,-0.67,2.4,1.55,-2.11,-2.22
2015-01-01,2015:Q1,4.1,3.06,3.58,1.3,2.28,2.84,0.19,-0.09,-0.09,0.39,1.74,-1.18,2.91,-0.57,0.23,1.3,1.87,-5.04,-0.02,6.34,1.88
2015-04-01,2015:Q2,2.88,1.66,2.27,1.23,1.04,2.91,0.21,-0.02,-0.02,0.39,0.4,-1.84,2.24,3.17,0.23,2.83,-0.33,-1.89,-1.82,4.72,1.49
2015-07-01,2015:Q3,1.34,0.28,0.81,0.17,0.63,2.8,0.24,1.54,1.54,0.39,-1.33,0.55,-1.88,3.04,0.23,1.01,-2.03,-1.71,1.23,2.72,-3.26
2015-10-01,2015:Q4,0.42,0.3,0.36,2.68,-2.32,2.72,0.26,0.84,0.84,0.39,-2.85,0.03,-2.88,1.86,0.23,-1.42,-3.28,-0.37,0.14,-1.06,-3.43
2016-01-01,2016:Q1,2.74,2.76,2.75,1.55,1.2,2.55,0.29,-2.17,-2.17,0.39,2.15,-0.5,2.65,1.81,0.23,3.54,1.73,2.56,-1.42,0.98,3.15
2016-04-01,2016:Q2,1.3,-2.88,-0.79,1.55,-2.34,2.54,0.29,2.11,2.11,0.38,-4.02,-0.38,-3.64,4.86,0.23,-0.27,-5.13,1.35,-0.89,-1.62,-4.24
2016-07-01,2016:Q3,2.83,2.87,2.85,0.98,1.87,2.46,0.29,-1.08,-1.08,0.38,1.97,-0.05,2.02,4.2,0.23,5.21,1.01,3.01,-0.96,2.2,1.97
2016-10-01,2016:Q4,2.5,2.23,2.37,-0.66,3.02,2.45,0.3,0.22,0.22,0.38,1.7,0.52,1.18,3.76,0.23,4.6,0.85,-1.12,1.01,5.72,-0.16
2017-01-01,2017:Q1,1.81,3.66,2.74,1.95,0.79,2.54,0.3,0.75,0.75,0.38,0.1,-1.43,1.53,2.33,0.23,1.89,-0.43,-2.41,-1.14,4.3,0.71
2017-04-01,2017:Q2,2.32,3.6,2.96,2.97,-0.01,2.45,0.36,-0.3,-0.3,0.38,0.37,2.04,-1.66,1.97,0.23,1.9,-0.08,3.5,1.6,-1.61,-1.68
2017-07-01,2017:Q3,4.14,2.44,3.29,-0.15,3.44,2.52,0.43,0.55,0.55,0.38,2.09,-1,3.09,4.58,0.23,5.62,1.04,-2.5,-0.56,8.12,1.6
2017-10-01,2017:Q4,4.87,3.85,4.36,3.45,0.91,2.66,0.49,-0.31,-0.31,0.38,1.41,1.24,0.17,3.34,0.23,3.98,0.63,1.54,1.15,2.44,-0.52
2018-01-01,2018:Q1,3.21,4.17,3.69,1.78,1.91,2.73,0.56,1.35,1.35,0.38,0.71,0.87,-0.16,2.63,0.23,2.73,0.1,4.44,-0.21,-1.71,0.31
2018-04-01,2018:Q2,3.17,0.79,1.98,1.13,0.85,2.88,0.36,-0.61,-0.61,0.38,0.57,1.38,-0.81,3.7,0.23,3.41,-0.28,1.35,1.39,2.06,-1.68
2018-07-01,2018:Q3,3.42,6.38,4.9,2.4,2.51,2.87,0.17,0.77,0.77,0.38,1.85,-1.89,3.74,2.39,0.23,3.69,1.29,-2.34,-1.76,6.03,3.05
2018-10-01,2018:Q4,0.8,2.48,1.64,1.37,0.27,3.03,-0.02,1.4,1.4,0.38,-1.23,-0.94,-0.29,2.61,0.23,0.77,-1.83,-1.08,-0.89,1.86,-0.94
2019-01-01,2019:Q1,2.69,2.41,2.55,-0.52,3.07,2.98,-0.22,-1.06,-1.06,0.38,2.42,-1.71,4.13,-0.22,0.23,2.25,2.47,-7.28,-0.04,9.52,2.51
2019-04-01,2019:Q2,2.81,0.89,1.85,0.34,1.51,2.91,0.41,-0.26,-0.26,0.37,0.71,-1.92,2.63,3.19,0.23,3.16,-0.03,-2.82,-1.65,5.98,1.62
2019-07-01,2019:Q3,4.14,1.54,2.84,2.26,0.58,2.85,1.03,0.11,0.11,0.37,0.29,-2.31,2.6,2.56,0.23,2.26,-0.3,-3.4,-1.99,5.66,1.68
2019-10-01,2019:Q4,1.65,3.95,2.8,-0.6,3.4,2.76,1.65,1.19,1.19,0.37,1.4,-1.88,3.28,3.48,0.23,4.08,0.6,-2.88,-1.58,6.95,2.18