DATE,PCDG
1/1/48,23.547
1/4/48,24.019
1/7/48,25.277
1/10/48,24.971
1/1/49,24.436
1/4/49,26.389
1/7/49,27.313
1/10/49,28.356
1/1/50,29.335
1/4/50,29.799
1/7/50,37.355
1/10/50,33.292
1/1/51,35.638
1/4/51,30.735
1/7/51,30.193
1/10/51,30.391
1/1/52,30.776
1/4/52,31.007
1/7/52,29.467
1/10/52,33.723
1/1/53,35.186
1/4/53,35.019
1/7/53,34.577
1/10/53,33.683
1/1/54,32.91
1/4/54,33.646
1/7/54,33.233
1/10/54,35.064
1/1/55,38.437
1/4/55,40.709
1/7/55,42.421
1/10/55,41.413
1/1/56,39.674
1/4/56,39.819
1/7/56,39.685
1/10/56,41.497
1/1/57,42.597
1/4/57,42.17
1/7/57,41.876
1/10/57,41.467
1/1/58,39.396
1/4/58,38.636
1/7/58,39.396
1/10/58,40.693
1/1/59,43.649
1/4/59,45.465
1/7/59,46.336
1/10/59,44.103
1/1/60,45.455
1/4/60,46.434
1/7/60,45.922
1/10/60,44.69
1/1/61,42.24
1/4/61,43.32
1/7/61,44.58
1/10/61,46.683
1/1/62,47.702
1/4/62,49.047
1/7/62,49.567
1/10/62,51.546
1/1/63,52.589
1/4/63,53.881
1/7/63,54.701
1/10/63,55.739
1/1/64,57.995
1/4/64,59.476
1/7/64,61.378
1/10/64,59.377
1/1/65,64.915
1/4/65,64.818
1/7/65,66.7
1/10/65,69.126
1/1/66,72.312
1/4/66,69.721
1/7/66,72.323
1/10/66,72.625
1/1/67,71.102
1/4/67,74.483
1/7/67,74.699
1/10/67,75.642
1/1/68,80.859
1/4/68,83.084
1/7/68,87.545
1/10/68,87.826
1/1/69,90.011
1/4/69,90.448
1/7/69,90.628
1/10/69,90.844
1/1/70,89.611
1/4/70,91.006
1/7/70,92.011
1/10/70,87.324
1/1/71,98.052
1/4/71,100.989
1/7/71,103.442
1/10/71,107.302
1/1/72,110.704
1/4/72,114.066
1/7/72,117.591
1/10/72,123.416
1/1/73,131.812
1/4/73,131.295
1/7/73,130.8
1/10/73,128.201
1/1/74,126.652
1/4/74,130.583
1/7/74,136.324
1/10/74,127.148
1/1/75,131.787
1/4/75,136.692
1/7/75,146.788
1/10/75,153.392
1/1/76,163.297
1/4/76,165.9
1/7/76,169.845
1/10/76,175.455
1/1/77,183.931
1/4/77,189.223
1/7/77,193.992
1/10/77,200.706
1/1/78,198.168
1/4/78,216.187
1/7/78,216.74
1/10/78,222.299
1/1/79,223.278
1/4/79,222.101
1/7/79,230.932
1/10/79,229.049
1/1/80,232.055
1/4/80,211.917
1/7/80,225.363
1/10/80,236.23
1/1/81,246.047
1/4/81,240.936
1/7/81,251.925
1/10/81,236.844
1/1/82,246.439
1/4/82,249.226
1/7/82,252.107
1/10/82,264.356
1/1/83,268.908
1/4/83,289.584
1/7/83,302.362
1/10/83,319.27
1/1/84,331.439
1/4/84,341.269
1/7/84,342.075
1/10/84,353.84
1/1/85,368.007
1/4/85,373.251
1/7/85,396.451
1/10/85,383.752
1/1/86,391.626
1/4/86,407.291
1/7/86,445.707
1/10/86,441.133
1/1/87,418.497
1/4/87,439.101
1/7/87,460.541
1/10/87,449.949
1/1/88,470.439
1/4/88,473.223
1/7/88,470.389
1/10/88,486.162
1/1/89,486.451
1/4/89,493.344
1/7/89,505.638
1/10/89,491.885
1/1/90,515.394
1/4/90,498.407
1/7/90,493.57
1/10/90,480.947
1/1/91,471.691
1/4/91,475.248
1/7/91,484.336
1/10/91,477.456
1/1/92,496.18
1/4/92,500.989
1/7/92,512.092
1/10/92,523.064
1/1/93,527.852
1/4/93,547.842
1/7/93,556.638
1/10/93,573.796
1/1/94,588.824
1/4/94,598.721
1/7/94,609.31
1/10/94,631.83
1/1/95,621.252
1/4/95,626.914
1/7/95,642.543
1/10/95,652.242
1/1/96,659.825
1/4/96,676.332
1/7/96,679.382
1/10/96,689.641
1/1/97,705.591
1/4/97,696.587
1/7/97,722.779
1/10/97,737.161
1/1/98,737.702
1/4/98,769.238
1/7/98,785.044
1/10/98,825.189
1/1/99,819.948
1/4/99,854.805
1/7/99,871.191
1/10/99,876.329
1/1/00,920.875
1/4/00,901.931
1/7/00,911.658
1/10/00,915.823
1/1/01,926.811
1/4/01,919.479
1/7/01,923.888
1/10/01,995.882
1/1/02,976.249
1/4/02,977.397
1/7/02,1001.72
1/10/02,986.105
1/1/03,974.533
1/4/03,1007.819
1/7/03,1041.776
1/10/03,1047.074
1/1/04,1064.229
1/4/04,1065.972
1/7/04,1085.046
1/10/04,1107.05
1/1/05,1109.964
1/4/05,1137.918
1/7/05,1151.814
1/10/05,1114.745
1/1/06,1154.128
1/4/06,1149.249
1/7/06,1160.532
1/10/06,1169.422
1/1/07,1179.022
1/4/07,1185.692
1/7/07,1191.859
1/10/07,1195.599
1/1/08,1153.509
1/4/08,1137.729
1/7/08,1095.819
1/10/08,1007.986
1/1/09,1004.48
1/4/09,994.7
1/7/09,1035.104
1/10/09,1014.201
1/1/10,1021.085
1/4/10,1043.901
1/7/10,1052.423
1/10/10,1078.441
1/1/11,1087.927
1/4/11,1082.903
1/7/11,1090.755
1/10/11,1112.409
1/1/12,1138.093
1/4/12,1133.557
1/7/12,1141.673
1/10/12,1163.561
1/1/13,1189.742
1/4/13,1187.617
1/7/13,1191.933
1/10/13,1197.851
1/1/14,1207.539
1/4/14,1244.233
1/7/14,1261.26
1/10/14,1276.009
1/1/15,1291.044
1/4/15,1317.766
1/7/15,1326.9
1/10/15,1327.463
1/1/16,1338.655
1/4/16,1345.902
1/7/16,1366.32
1/10/16,1375.105
1/1/17,1385.09
1/4/17,1394.392
1/7/17,1417.806
1/10/17,1466.355
1/1/18,1483.333
1/4/18,1488.127
1/7/18,1491.615
1/10/18,1492.248
1/1/19,1481.964
1/4/19,1514.365
1/7/19,1540.97
1/10/19,1553.527